position,Olivine Abundance,lon,lat
99.038577,5.432449,61.171582,-8.826853
99.306248,4.58123,61.171405,-8.835679
99.57392,3.697191,61.171228,-8.844504
99.841592,2.401507,61.17105,-8.85333
100.109264,3.033792,61.170872,-8.862155
100.376936,3.278283,61.170695,-8.870981
100.644608,3.589175,61.170517,-8.879806
100.912279,3.36946,61.17034,-8.888632
101.179951,4.970554,61.170162,-8.897457
101.447623,5.979301,61.169985,-8.906283
101.715295,5.587199,61.169807,-8.915108
101.982967,4.802886,61.169629,-8.923934
102.250639,4.124187,61.169453,-8.932759
102.51831,2.938237,61.169274,-8.941585
102.785982,2.870272,61.169097,-8.95041
103.053654,3.722667,61.168919,-8.959236
103.321326,5.442515,61.168741,-8.968061
103.588998,5.139951,61.168564,-8.976887
103.85667,4.772517,61.168387,-8.985712
104.124341,5.768091,61.168208,-8.994538
104.392013,5.881206,61.168031,-9.003363
104.659685,5.508215,61.167854,-9.012189
104.927357,4.181434,61.167675,-9.021014
105.195029,4.517629,61.167498,-9.02984
105.462701,6.007957,61.16732,-9.038665
105.730372,5.628199,61.167142,-9.047491
105.998044,6.147648,61.166965,-9.056316
106.265716,5.828956,61.166788,-9.065142
106.533388,5.237944,61.166609,-9.073967
106.80106,5.024353,61.166432,-9.082793
107.068731,4.968213,61.166254,-9.091618
107.336403,5.025422,61.166076,-9.100444
107.604075,5.593772,61.165898,-9.109269
107.871747,4.692342,61.165721,-9.118095
108.139419,5.607457,61.165544,-9.12692
108.407091,5.87739,61.165366,-9.135746
108.674762,4.2769,61.165187,-9.144571
108.942434,3.738254,61.165009,-9.153397
109.210106,3.261731,61.164832,-9.162222
109.477778,2.864257,61.164654,-9.171048
109.74545,2.797016,61.164477,-9.179873
110.013122,3.419361,61.164298,-9.188699
110.280793,3.294563,61.16412,-9.197524
110.548465,2.92608,61.163942,-9.20635
110.816137,2.91081,61.163765,-9.215176
111.083809,3.623145,61.163587,-9.224001
111.351481,3.549137,61.163409,-9.232827
111.619153,3.292209,61.163231,-9.241652
111.886824,3.942063,61.163054,-9.250478
112.154496,4.182206,61.162875,-9.259303
112.422168,3.286481,61.162697,-9.268129
112.68984,3.05989,61.162519,-9.276954
112.957512,3.313835,61.162341,-9.28578
113.225184,3.004694,61.162163,-9.294605
113.492855,2.756311,61.161985,-9.303431
113.760527,3.574019,61.161808,-9.312256
114.028199,3.852359,61.16163,-9.321082
114.295871,3.701475,61.161452,-9.329907
114.563543,3.372589,61.161274,-9.338733
114.831215,3.731497,61.161096,-9.347558
115.098886,4.017435,61.160918,-9.356384
115.366558,4.15736,61.16074,-9.365209
115.63423,4.120906,61.160562,-9.374035
115.901902,3.964615,61.160384,-9.38286
116.169574,3.686772,61.160206,-9.391686
116.437245,3.769267,61.160027,-9.400511
116.704917,3.697901,61.15985,-9.409337
116.972589,3.954595,61.159671,-9.418162
117.240261,3.914471,61.159493,-9.426988
117.507933,3.676577,61.159315,-9.435813
117.775605,3.595746,61.159137,-9.444639
118.043276,3.64899,61.15896,-9.453464
118.310948,3.324836,61.158781,-9.46229
118.57862,3.017723,61.158603,-9.471115
118.846292,3.388745,61.158425,-9.479941
119.113964,3.520311,61.158246,-9.488766
119.381636,3.538309,61.158068,-9.497592
119.649307,3.248395,61.15789,-9.506417
119.916979,3.282741,61.157713,-9.515243
120.184651,3.190504,61.157534,-9.524068
120.452323,2.668392,61.157356,-9.532894
120.719995,2.372951,61.157177,-9.541719
120.987667,2.236616,61.156999,-9.550545
121.255338,2.257369,61.156821,-9.55937
121.52301,2.893197,61.156643,-9.568196
121.790682,2.392539,61.156465,-9.577021
122.058354,2.129497,61.156286,-9.585847
122.326026,2.260261,61.156109,-9.594672
122.593698,2.821467,61.155931,-9.603498
122.861369,3.219852,61.155752,-9.612323
123.129041,3.091864,61.155573,-9.621149
123.396713,3.174714,61.155396,-9.629974
123.664385,3.512002,61.155217,-9.6388
123.932057,2.570295,61.155039,-9.647625
124.199729,2.881076,61.15486,-9.656451
124.4674,3.159125,61.154683,-9.665276
124.735072,2.656392,61.154504,-9.674102
125.002744,3.021522,61.154325,-9.682927
125.270416,3.499307,61.154147,-9.691753
125.538088,2.783993,61.153968,-9.700578
125.805759,2.312979,61.15379,-9.709404
126.073431,2.149322,61.153612,-9.718229
126.341103,2.57908,61.153433,-9.727055
126.608775,2.772755,61.153255,-9.73588
126.876447,3.226755,61.153076,-9.744706
127.144119,2.75919,61.152898,-9.753531
127.41179,2.140085,61.15272,-9.762357
127.679462,2.749256,61.152541,-9.771182
127.947134,2.993901,61.152363,-9.780008
128.214806,3.009958,61.152185,-9.788833
128.482478,2.910224,61.152007,-9.797659
128.75015,2.920723,61.151828,-9.806484
129.017821,3.048415,61.15165,-9.81531
129.285493,3.047555,61.151471,-9.824135
129.553165,2.998187,61.151292,-9.832961
129.820837,3.157523,61.151113,-9.841786
130.088509,3.185153,61.150935,-9.850612
130.356181,3.201414,61.150757,-9.859437
130.623852,3.179885,61.150578,-9.868263
130.891524,3.124259,61.150399,-9.877088
131.159196,3.232442,61.150221,-9.885914
131.426868,3.570921,61.150042,-9.894739
131.69454,3.523473,61.149863,-9.903565
131.962212,3.155412,61.149685,-9.91239
132.229883,3.190579,61.149506,-9.921216
132.497555,3.40487,61.149328,-9.930041
132.765227,3.182443,61.149149,-9.938867
133.032899,3.103883,61.148971,-9.947692
133.300571,3.122898,61.148792,-9.956518
133.568243,3.510637,61.148614,-9.965343
133.835914,3.396937,61.148435,-9.974169
134.103586,3.48132,61.148256,-9.982994
134.371258,3.511312,61.148077,-9.99182
134.63893,3.187843,61.147898,-10.000645
134.906602,3.263098,61.14772,-10.009471
135.174274,3.795505,61.147541,-10.018296
135.441945,3.752161,61.147362,-10.027122
135.709617,2.644516,61.147184,-10.035947
135.977289,2.261748,61.147006,-10.044773
136.244961,2.623336,61.146826,-10.053598
136.512633,2.029886,61.146647,-10.062424
136.780304,2.771091,61.146469,-10.071249
137.047976,3.003451,61.146291,-10.080075
137.315648,2.345954,61.146111,-10.0889
137.58332,2.113332,61.145932,-10.097726
137.850992,2.236352,61.145753,-10.106551
138.118664,2.171758,61.145575,-10.115377
138.386335,2.07913,61.145396,-10.124202
