position,Olivine Abundance,lon,lat
69.272805,1.726701,26.49078,-11.683994
69.448625,1.86992,26.494863,-11.688193
69.624444,2.567228,26.498947,-11.692391
69.800263,2.561005,26.50303,-11.69659
69.976082,3.384595,26.507114,-11.700789
70.151902,2.923043,26.511197,-11.704987
70.327721,2.525288,26.515281,-11.709186
70.50354,2.049194,26.519365,-11.713384
70.67936,2.428419,26.52345,-11.717582
70.855179,2.359258,26.527533,-11.721781
71.030998,3.291272,26.531618,-11.725979
71.206818,3.648828,26.535702,-11.730178
71.382637,4.801715,26.539787,-11.734376
71.558456,4.955006,26.543871,-11.738574
71.734275,4.392359,26.547956,-11.742772
71.910095,6.19019,26.552041,-11.74697
72.085914,6.224158,26.556126,-11.751168
72.261733,5.667002,26.560211,-11.755366
72.437553,5.683262,26.564297,-11.759564
72.613372,6.183547,26.568382,-11.763761
72.789191,6.275492,26.572468,-11.767959
72.965011,5.86873,26.576553,-11.772157
73.14083,5.066171,26.580639,-11.776354
73.316649,5.258629,26.584725,-11.780552
73.492468,5.674934,26.588811,-11.784749
73.668288,5.815224,26.592897,-11.788947
73.844107,5.730475,26.596984,-11.793144
74.019926,5.264578,26.60107,-11.797341
74.195746,5.914528,26.605157,-11.801539
74.371565,5.560324,26.609243,-11.805736
74.547384,6.109592,26.61333,-11.809933
74.723204,4.969148,26.617417,-11.81413
74.899023,4.560402,26.621504,-11.818327
75.074842,4.679047,26.625591,-11.822524
75.250661,5.099437,26.629679,-11.826721
75.426481,5.613997,26.633766,-11.830918
75.6023,5.423129,26.637854,-11.835115
75.778119,4.559235,26.641941,-11.839311
75.953939,4.515762,26.646029,-11.843508
76.129758,6.136038,26.650117,-11.847705
76.305577,5.050777,26.654205,-11.851901
76.481397,5.012582,26.658293,-11.856098
76.657216,5.6872,26.662381,-11.860294
76.833035,5.679731,26.66647,-11.86449
77.008855,5.723663,26.670558,-11.868687
77.184674,5.729716,26.674647,-11.872883
77.360493,5.407925,26.678736,-11.877079
77.536312,5.313389,26.682825,-11.881275
77.712132,5.282537,26.686914,-11.885471
77.887951,4.489467,26.691003,-11.889667
78.06377,4.984079,26.695092,-11.893863
78.23959,5.914005,26.699182,-11.898059
78.415409,6.168468,26.703272,-11.902255
78.591228,6.187933,26.707361,-11.906451
78.767048,5.713185,26.711451,-11.910647
78.942867,5.944114,26.715541,-11.914842
79.118686,6.797919,26.719631,-11.919038
79.294505,7.34306,26.723721,-11.923233
79.470325,6.794536,26.727812,-11.927429
79.646144,6.695769,26.731902,-11.931624
79.821963,6.532439,26.735993,-11.935819
79.997783,5.837229,26.740083,-11.940015
80.173602,5.070762,26.744175,-11.94421
80.349421,5.274668,26.748266,-11.948405
80.525241,5.583042,26.752356,-11.952601
80.70106,5.491763,26.756447,-11.956796
80.876879,5.318523,26.760539,-11.960991
81.052698,5.419185,26.76463,-11.965186
81.228518,6.015669,26.768722,-11.969381
81.404337,6.417206,26.772814,-11.973575
