Crater ID,position,lon,lat,Clinopyroxene Abundance,FeO Abundance,TerrainHeight,Iron Abundance,Olivine Abundance,Orthopyroxene Abundance,Plagioclase Abundance,TerrainSlope,Titanium Abundance
D_1_8_3,7.659649,-51.320153,11.58541,31.642457,18.030683,-1774.916626,21.141851,7.653012,32.597461,28.107069,2.007743,5.351386
D_1_8_3,7.731235,-51.318185,11.586773,26.735375,18.568121,-1778.125803,21.141004,7.091026,37.545172,28.628429,4.374752,5.352509
D_1_8_3,7.80282,-51.316218,11.588137,31.648881,18.753145,-1785.14983,21.140164,5.396267,33.691357,29.263496,5.934729,5.353633
D_1_8_3,7.874406,-51.314251,11.589501,32.788495,18.646819,-1792.061206,21.139335,4.108282,32.731112,30.372112,7.142062,5.354758
D_1_8_3,7.945991,-51.312284,11.590865,30.780715,18.45366,-1802.556654,21.138513,4.530266,32.707269,31.98175,9.704923,5.355883
D_1_8_3,8.017577,-51.310317,11.592229,25.997362,18.239747,-1816.104926,21.137699,4.885103,35.655356,33.462179,11.01781,5.357009
D_1_8_3,8.089162,-51.30835,11.593592,19.96973,18.249644,-1828.444899,21.136895,6.004181,39.667636,34.358451,11.233405,5.358135
D_1_8_3,8.160748,-51.306383,11.594956,17.966157,18.335174,-1842.519161,21.136099,6.556291,41.152694,34.324858,12.605322,5.359262
D_1_8_3,8.232333,-51.304416,11.59632,20.070394,18.539153,-1858.962292,21.135311,6.630283,40.094079,33.205247,12.753339,5.36039
D_1_8_3,8.303919,-51.302449,11.597684,19.477273,18.764427,-1873.63276,21.134532,6.684026,41.343381,32.495322,12.027777,5.361518
D_1_8_3,8.375504,-51.300481,11.599047,16.837565,18.986644,-1888.444153,21.133762,6.798414,44.398558,31.965464,11.2126,5.362646
D_1_8_3,8.44709,-51.298514,11.600411,17.071599,19.130089,-1902.134823,21.133001,6.522389,45.033526,31.372486,6.030899,5.363775
D_1_8_3,8.518675,-51.296547,11.601775,23.659505,19.045093,-1903.649446,21.132247,5.039933,40.902332,30.398232,2.801678,5.364905
D_1_8_3,8.590261,-51.29458,11.603139,22.789322,18.944402,-1893.4039,21.131503,5.619869,40.470505,31.120306,9.398185,5.366035
D_1_8_3,8.661846,-51.292613,11.604503,28.195399,18.6038,-1878.399348,21.130768,3.86386,36.503132,31.437612,14.089849,5.367166
D_1_8_3,8.733432,-51.290645,11.605866,32.369312,18.221444,-1858.493819,21.13004,1.855801,33.946448,31.82844,19.840675,5.368297
D_1_8_3,8.805017,-51.288678,11.60723,29.324716,18.036036,-1826.084853,21.129322,4.612345,31.98356,34.07938,21.716772,5.369429
D_1_8_3,8.876603,-51.286711,11.608593,28.02391,17.959734,-1804.532212,21.128612,4.254961,33.428326,34.292803,20.054235,5.370561
D_1_8_3,8.948188,-51.284743,11.609957,33.339164,17.795681,-1775.463596,21.12791,3.568929,28.990176,34.101734,18.521789,5.371694
D_1_8_3,9.019774,-51.282776,11.61132,31.723205,17.901481,-1756.258411,21.127218,3.253944,31.271266,33.751584,16.125793,5.372828
D_1_8_3,9.091359,-51.280809,11.612684,32.883765,18.018504,-1736.369065,21.126534,2.589095,31.726995,32.800143,13.963095,5.373962
D_1_8_3,9.162945,-51.278841,11.614048,34.610073,17.903136,-1720.250185,21.125858,1.761047,31.510011,32.118868,9.348293,5.375096
D_1_8_3,9.23453,-51.276874,11.615411,30.056943,17.859886,-1719.589138,21.125191,5.777182,34.470079,29.695796,7.964556,5.376231
D_1_8_3,9.306116,-51.274907,11.616775,26.165226,17.974428,-1724.9535,21.124533,8.128592,34.328337,31.377845,10.732052,5.377367
